 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
  27   1     0.04  -0.15  -0.02     0.01  -0.13  -0.01    -0.03  -0.12   0.02
  28   1     0.02   0.02   0.14    -0.01   0.00   0.11    -0.03  -0.02   0.13
  29   1     0.00   0.17  -0.02     0.01   0.10   0.01    -0.00   0.05   0.06
  30   1     0.04  -0.03  -0.23     0.02  -0.03  -0.11     0.00  -0.03   0.01
  31   1     0.03  -0.20  -0.05     0.02  -0.12  -0.01     0.02  -0.06   0.04
  32   1    -0.01   0.02   0.09    -0.02   0.01   0.05    -0.04  -0.01   0.04
  33   1     0.07   0.12  -0.00     0.02   0.06   0.01    -0.05   0.02   0.01
  34   1    -0.02  -0.04   0.02     0.05   0.08  -0.00     0.03  -0.03  -0.02
  35   1     0.01   0.04   0.07     0.02  -0.02  -0.06    -0.01   0.04  -0.03
  36   1     0.14   0.09  -0.05    -0.22  -0.09   0.07     0.12   0.07  -0.08
  37   1     0.02   0.01  -0.15    -0.00   0.03   0.26     0.03   0.00  -0.16
  38   1    -0.11  -0.05   0.04     0.26   0.16  -0.10    -0.04   0.05  -0.03
  39   1     0.01  -0.01   0.13     0.03  -0.04  -0.31     0.04  -0.03  -0.00
  40   1    -0.06  -0.01  -0.08    -0.01   0.06   0.25    -0.07   0.03   0.07
  41   1    -0.07  -0.04   0.06     0.03   0.01  -0.10    -0.06  -0.02   0.10
  42   1     0.06   0.03   0.01    -0.25  -0.14   0.02    -0.02  -0.06   0.07
                     10                     11                     12
                        a                      a                      a 
 Frequencies --   123.0594               136.7434               139.3911
 Red. masses --     9.2947                 7.2609                 9.3266
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     3.5576                 0.4372                 3.7858
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   7     0.11  -0.04   0.20    -0.06   0.04  -0.04     0.13   0.04  -0.20
   2   6    -0.07  -0.08  -0.08     0.07   0.05   0.02    -0.07   0.05  -0.00
   3   6    -0.12   0.02  -0.11     0.10  -0.05  -0.00    -0.13   0.26   0.07
   4   6     0.07  -0.26   0.02    -0.04   0.12  -0.09     0.04   0.07   0.18
   5   6    -0.01  -0.13  -0.02     0.03   0.02  -0.02     0.08  -0.01   0.20
   6   6     0.05   0.03  -0.01     0.00  -0.33  -0.21     0.08  -0.17   0.09
   7   6    -0.02   0.33   0.15    -0.04   0.11   0.24     0.06  -0.29  -0.11
